"","g","","g","","g","","g","","g","","g","","g","","g","","g",""
"1",-0.141673407796432,-0.223098640118475,0.114095150337281,0.126281709455487,-0.179537654900465,-0.171671038603743,0.0690444255896363,0.0553426937269712,-0.0486612735985262,-0.0350659305771142,0.140445718174314,0.282378272665609,-0.119493983310012,-0.156024717864222,0.26077426004507,0.245840322879813,-0.0272628382226155,-0.043317412247669
"2",-0.152109470691397,-0.155823955625786,0.0818120542911103,0.132817718916421,0.0615353875651658,0.0525844572272816,0.059674355675795,0.0582548269342113,0.191026764853858,0.275126001623642,-0.11721571865128,-0.124658761108396,-0.268995959880681,-0.321913828006466,0.0608307552721004,0.0546282495534712,0.0524772627323762,0.0391303278602264
"3",-0.275053728624703,-0.258793837146604,0.0284492532504536,0.0421924170373001,-0.227395223272282,-0.251790059443632,0.108920304072316,0.123146191077416,-0.0812994664664901,-0.0541784879886484,0.138711617768871,0.127334930966765,-0.285173900211418,-0.337181919361478,0.164800681892214,0.168677901549617,-0.478995685414106,-0.510459793640075
"4",-0.104880965122208,-0.128015947961152,0.0984850098747553,0.149735356828087,0.202191371951314,0.208538806270788,0.0145124950068174,-0.00506984647768648,-0.140216712474639,-0.142976424955488,0.236904863383376,0.278347636281476,0.00813481629079315,0.0125622416375188,0.0413293940767883,0.0160099679551149,-0.0923246111500581,-0.117188599549209
"5",-0.145114306171285,-0.183373517092393,-0.043768624522299,-0.0440902251050096,0.0311745418412078,0.0357939086431753,-0.0723093248411385,-0.0766573836076517,-0.198600106834794,-0.22532672590428,-0.074172619041158,-0.079967762661934,0.193812966727168,0.191026499875392,-0.0109295053651935,-0.12681790579349,0.0279400493230838,0.0109220000745379
"6",0.0374653535990308,0.0584665932849283,0.0514675853476578,0.0552218561951597,-0.156271672390538,-0.162748662315227,0.0211155804328409,0.0347682689830607,-0.242668441275893,-0.302370882757449,-0.00110265540533753,0.0219385155944244,-0.040041543139303,-0.0331090619432858,-0.0636897364447421,-0.117371564946083,0.268588872993593,0.445736838505513
"7",0.114847849772948,0.130074406853301,0.375802504315797,0.405233955502551,0.0355497891308871,0.0378966884591242,0.168815362805201,0.221708561092123,-0.0186551189792372,-0.0228656951749355,-0.0354546473625844,-0.00674122582554436,0.291440049039548,0.366878978659397,0.00831103576879802,0.0138916415924173,0.0710502415433437,0.119311059151433
"8",0.0125611051132501,0.00176887556961531,0.0526980723330025,0.0417091581891828,-0.0896362135147742,-0.0957294262053529,0.124463017386168,0.122611425019797,0.0197393973318,0.033416875297126,0.0558344620808836,0.0514327645114425,-0.0555253630581443,-0.0606685044791929,-0.0712892517981726,-0.0782572872189862,-0.114091488708747,-0.0128220969963137
"9",0.0859276270696529,0.0972133581384926,0.0854604957245378,0.0980993049860797,-0.0584612982710412,-0.0576060408259226,0.0271740732707315,0.0373663590809648,-0.150608757690923,-0.184477303271624,-0.140210198598359,-0.153821002003051,0.2364038503809,0.285987985952325,-0.275365579983664,-0.351864875049487,-0.22363520928076,-0.23850892223408
"10",-0.0885981225447809,-0.0978604181881457,0.0590984375561514,0.0727474863945934,-0.216111106331334,-0.238544602314714,0.173657899242264,0.153648763543594,-0.0607444277922525,-0.0465310230899451,0.373814706794619,0.424115281175848,-0.0251059284126507,-0.00919489340101111,0.0669147076074039,0.157431853153509,-0.014723900625851,0.0152015212297258
"11",0.0230267061913521,0.0688628497515747,0.153810287654632,0.167481260253855,-0.0755536973524195,-0.109500023121089,-0.0257372983896365,-0.0184063386549588,-0.0173725268739741,-0.0182766044889426,-0.02800626983429,-0.0412543539344252,-0.146011015007071,-0.222584758278709,0.169831614534407,0.123901604559519,0.196971357722635,0.1983392799143
"12",0.0923974149157195,0.101821288756128,-0.321752818138716,-0.3312788736456,0.033346557766153,0.0410216404368789,-0.018743811475444,-0.0118771884799785,0.0701843474115348,0.0662597952618687,-0.138617875513621,-0.233271343319161,-0.0744532254703678,-0.063612480455138,0.0969766626892271,0.0196592626329916,0.0776547790416519,0.0130540887666082
"13",-0.00194838813169566,-0.0279109158332681,0.0924354909261519,0.0799588542779614,0.0944485376354191,0.0938590336826201,0.0787495290718063,0.0952576989404127,0.0772063284319434,0.111632759145145,-0.193155209984244,-0.154179212333413,0.207141036330547,0.242296189760364,-0.404856653405429,-0.433142466003705,-0.172016840697366,-0.174401213414808
"14",-0.141603561900793,-0.129683769415554,0.0330062131455211,0.0429697382123357,0.0569038425261992,0.0398637408614761,0.075938924770266,0.0828182650195049,-0.241183226044534,-0.299976429914837,0.00840556004012175,0.0487132765311015,-0.0504012257492368,-0.0624594116244453,-0.103691100501996,-0.0945590121260207,-0.092326067967383,-0.121080571360622
"15",0.0835818554901506,0.121876067933542,-0.24094506066819,-0.232372152742136,0.163175987740011,0.164243045132352,-0.00809987723215089,-0.00853519293361202,0.217853692700202,0.24506253858675,0.0790817149505684,0.0634819200502417,0.00135976312422752,0.0294216850123146,-0.12997429914986,-0.20437708224455,-0.0171295403893842,0.0126966101744133
"16",0.18579534928803,0.225673421119778,-0.0956769495850521,-0.137195961819294,-0.0816081093350661,-0.129043733140341,0.178097618432087,0.276667056929728,0.0488772038497717,0.0492868498292874,0.206982500797128,0.237000568158591,0.0264251957814075,0.0558811415649146,0.0715796738126313,0.0909465246243451,0.0350430914692826,0.0238037151337093
"17",-0.0283177935517923,-0.0126967961300233,0.0693923189914283,0.0378748531684996,-0.012333848729021,0.00062464223997487,-0.142725939110327,-0.142538345253556,0.0830065220226265,-0.0187023977789644,0.154926919223068,0.0750818362210868,-0.121816319329084,-0.15608078016971,-0.212176717523194,-0.182871161823708,0.0198621115002404,-0.00113268116877633
"18",0.0900769673563127,0.0957178784542915,0.151282709290758,0.16939619359833,0.0514279165591014,0.125526006456124,0.039205461698703,0.0315340246060065,0.182035062131603,0.237844137383103,0.176112736797149,0.198624631858223,-0.0784631473862974,-0.0836912821869786,-0.0930893489828624,-0.120884882816085,0.070507066269005,0.144212586742138
"19",0.0321341810926075,0.0436478855394297,-0.0263013201019521,-0.0337146679448476,-0.0586518243281299,-0.067145701374336,0.0410324054722472,0.0424135393493299,0.146651003950839,0.148014698507057,-0.00851174412078423,-0.0048178106784846,0.0884789495223465,0.11382683900122,0.196105101247177,0.178233836110253,0.375509789466173,0.461195343073399
"20",0.195335645902516,0.205307821074927,-0.0819648618273405,-0.102110707417147,-0.106809142078825,-0.10364765141139,0.0900946606483707,0.0896351508178057,-0.0447378433316855,-0.0489633385248802,0.0788938459931019,0.0931824242461584,-0.182167029312712,-0.181783330837338,0.0547205781408693,0.0722409120211279,0.389047318134423,0.437347966860322
